# Documents Missing source_url (74 total, excluding case-law)
# Generated 2026-07-01 from s3://wis-raw-bucket-c8e69250/raw/
#
# Fill in the `source_url` column. Leave blank if no public URL exists.
# Statutes: https://docs.legis.wisconsin.gov/statutes/statutes/{chapter}
# Admin rules: https://docs.legis.wisconsin.gov/code/admin_code/tax/{number}
# Constitution: https://docs.legis.wisconsin.gov/statutes/constitution
# WPAM: https://www.revenue.wi.gov/Pages/WPAM/wpam-{year}.aspx (or direct PDF)
# Gov pubs: https://www.revenue.wi.gov/DOR%20Publications/{filename}.pdf

## Statutes (25) — DONE: https://docs.legis.wisconsin.gov/statutes/statutes/{chapter}.pdf

doc_id                      | s3_key                                                          | source_url
wpam-wisconsin-property-assessment-manual-2023      | raw/wpam-wisconsin-property-assessment-manual-2023/wpam-wisconsin-property-assessment-manual-2023.pdf            | https://www.revenue.wi.gov/documents/wpam23.pdf
wpam-wisconsin-property-assessment-manual-2024      | raw/wpam-wisconsin-property-assessment-manual-2024/wpam-wisconsin-property-assessment-manual-2024.pdf            | https://www.revenue.wi.gov/documents/wpam24.pdf
wpam-wisconsin-property-assessment-manual-2025      | raw/wpam-wisconsin-property-assessment-manual-2025/wpam-wisconsin-property-assessment-manual-2025.pdf            | https://www.revenue.wi.gov/documents/wpam25.pdf

## Gov Publications (14) — DONE

doc_id                                                              | s3_key                                                                                                                                    | source_url
gov_publications-2025-guide-for-reassessments                       | raw/gov_publications-2025-guide-for-reassessments/gov_publications-2025-guide-for-reassessments.pdf                                        | https://www.revenue.wi.gov/DOR%20Publications/pr115.pdf
gov_publications-2026-agricultural-assessment-guide                  | raw/gov_publications-2026-agricultural-assessment-guide/gov_publications-2026-agricultural-assessment-guide.pdf                             | https://www.revenue.wi.gov/DOR%20Publications/pb061.pdf
gov_publications-2026-board-of-review-guide                         | raw/gov_publications-2026-board-of-review-guide/gov_publications-2026-board-of-review-guide.pdf                                            | https://www.revenue.wi.gov/DOR%20Publications/pb056.pdf
gov_publications-2026-property-assessment-guide                     | raw/gov_publications-2026-property-assessment-guide/gov_publications-2026-property-assessment-guide.pdf                                    | https://www.revenue.wi.gov/DOR%20Publications/pb062.pdf
gov_publications-2026-property-owners-guide                         | raw/gov_publications-2026-property-owners-guide/gov_publications-2026-property-owners-guide.pdf                                            | https://www.revenue.wi.gov/DOR%20Publications/pb060.pdf
gov_publications-2026-property-tax-refund-requests                  | raw/gov_publications-2026-property-tax-refund-requests/gov_publications-2026-property-tax-refund-requests.pdf                              | https://www.revenue.wi.gov/DOR%20Publications/pa600.pdf
gov_publications-chargeback-process-summary                         | raw/gov_publications-chargeback-process-summary/gov_publications-chargeback-process-summary.pdf                                            | https://www.revenue.wi.gov/DOR%20Publications/chargeback-steps.pdf
gov_publications-manufacturing-board-of-assessor-appeals-2026       | raw/gov_publications-manufacturing-board-of-assessor-appeals-2026/gov_publications-manufacturing-board-of-assessor-appeals-2026.pdf        | https://www.revenue.wi.gov/DOR%20Publications/prop066.pdf
gov_publications-omitted-taxes-process-summary                      | raw/gov_publications-omitted-taxes-process-summary/gov_publications-omitted-taxes-process-summary.pdf                                      | https://www.revenue.wi.gov/DOR%20Publications/omitted-taxes-steps.pdf
gov_publications-publication-218-refund-interception-guide-counties  | raw/gov_publications-publication-218-refund-interception-guide-counties/gov_publications-publication-218-refund-interception-guide-counties.pdf | https://www.revenue.wi.gov/DOR%20Publications/pb218.pdf
gov_publications-publication-238-refund-interception-guide-state-agencies | raw/gov_publications-publication-238-refund-interception-guide-state-agencies/gov_publications-publication-238-refund-interception-guide-state-agencies.pdf | https://www.revenue.wi.gov/DOR%20Publications/pb238.pdf
gov_publications-tax-18-conservation-programs-guide-2026            | raw/gov_publications-tax-18-conservation-programs-guide-2026/gov_publications-tax-18-conservation-programs-guide-2026.pdf                  | https://www.revenue.wi.gov/DOR%20Publications/tax18.pdf
gov_publications-tax-incremental-financing-manual                   | raw/gov_publications-tax-incremental-financing-manual/gov_publications-tax-incremental-financing-manual.pdf                                | https://www.revenue.wi.gov/DOR%20Publications/tif-manual.pdf
gov_publications-wisconsin-manufacturing-property-assessment-2026   | raw/gov_publications-wisconsin-manufacturing-property-assessment-2026/gov_publications-wisconsin-manufacturing-property-assessment-2026.pdf | https://www.revenue.wi.gov/DOR%20Publications/pb065.pdf

## IAAO Standards (11) — DONE: https://www.iaao.org/industry-data/iaao-technical-standards/

doc_id                                              | s3_key                                                                                                          | source_url
iaao-cadastral-maps-manual-2016                     | raw/iaao-cadastral-maps-manual-2016/iaao-cadastral-maps-manual-2016.pdf                                          | https://www.iaao.org/wp-content/uploads/Manual_Cadastral_Maps_2016.pdf
iaao-contamination-2016                             | raw/iaao-contamination-2016/iaao-contamination-2016.pdf                                                          | https://www.iaao.org/wp-content/uploads/Contamination_2016.pdf
